conversation_id,conversation_text,argument_objects,dropped_units
29832,"Part 28: M1 [2023/05/17 15:50:34 GMT+0000]: And the policeman is now saying it was an accident. F1: Yes, he's saying it was an accident. M1: Okay. F1: So And then So Sherry turns up at his house being loud and inappropriate, was going on for a couple of hours, and that started at 2:30. M2: So if he was there, is he ruled out as well? F1: He's not there. HeI don't think he was there. M1: He's not ruled out. He's not ruled out. F1: No. M2: Okay. M1: Ah, but maybe she's making all that noise because he wasn't there, or whatever. F1: Yeah. Well, let's just quickly read If you I didn't getmy neighbour's girlfriend, she was up at his house at all hours, I swear she knocked out every single thing in the back yard. Then she turns out the lights, which shineturns on the lights, which shine into my bedroom. I don't know what possessed her, but I assume it was intended to annoy me. Thankfully it stopped after a couple of hours. This isn't the first time, you'd think they'd have some decency to be ashamed of themselves, but no, they are determined to make a mockery. Maybe he was there, it doesn't say he wasn't there. M1: Yeah, so we F1: Maybe they're both ruled out. M1: we can't rule it out either. Yeah. F1: No, no, we can rule [00:00:56]: We can rule her out because she was there making a noise.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""was going on for a couple of hours, and that started at""}, {""reason"": ""Pure Questioning"", ""id"": 1, ""text"": ""if he was there, is he ruled out as well""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""not there""}, {""reason"": ""Hypothesising"", ""id"": 3, ""text"": ""maybe she's making all that noise because he wasn't there""}, {""reason"": ""Hypothesising"", ""id"": 4, ""text"": ""Maybe he was there""}, {""reason"": ""Hypothesising"", ""id"": 5, ""text"": ""Maybe they're both ruled out""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""we can't rule it out either""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""We can rule her out because she was there making a noise""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""attack""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""attack""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 7, ""target_id"": 0, ""type"": ""support""}]}",0
29923,"Part 91: F2: [2023/05/16 18:11:01 GMT+0000] So I think that's enough of an alibi. In fact, funnily enough, it covers her and the policeman, unless of course, they're [inaudible 02:11:17]? F1: I think it's Cherie. I think it's the wife. F2: Because she has got theif you went back on motive, who else has got a motive? No one else has got a motive, so it's her. F3: Well no, but Chris, Chris's motive is related to her motive. F2: I agree he could be an assistant, but he hasn't got a motive in his own right. F3: No, but it doesn't mean she's not [voices overlap] [00:00:35]:, I mean, like F1: So that she doesn't need to leave him, but? F3: He likes her, and that's a motive. F2: I'm not saying, he isn't the orchestrator, he might be an accomplice, I'm not denying him as an accomplice, but F3: Oh yeah, he might not be the orchestrator, yeah, but F2: Yeah, he couldn't have done it on his own, he's got no point of doing it on his own. F3: But he could have killed him, or he could have also done, yeah, but he could have killed him, he could have [00:00:53]: voices overlap. F1: [0:01:08]: I think to do it on his own, it would have been hard, because he was working, he couldn't have been the devil mask to like get him to run into [18:12:09]: the forest.","{""argument_units"": [{""reason"": ""Hypothesising"", ""id"": 0, ""text"": ""Cherie. I think""}, {""reason"": ""Rhetorical Questioning"", ""id"": 1, ""text"": ""if you went back on motive, who else has got a motive""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""Chris, Chris's motive is related to her""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""he hasn't got a motive in his own right""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""He likes her""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""not saying, he isn't the orchestrator""}, {""reason"": ""Hypothesising"", ""id"": 6, ""text"": ""he might not be the orchestrator""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""he couldn't have done it on his own""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""to do it on his own, it would have been hard""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""he was working""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""he couldn't have been the devil mask to like get him to run into [18:12:09]: the forest""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""attack""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""attack""}]}",0
29804,"Part 20 F1 [2023/05/12 19:02:10 GMT+0000]: Okay, so hang on, so I think that those shoes might be Joan's, because her address is 2 County Road, and you can see a 2. So F2: Let's see if I can F1: I think they're probably not useful. F2: Yeah. F1: They're just like, other shoes. F2: Plus, she would have been out there anyway. F1: Yeah. F2: But we're still ruling her out of the mix. F1: Okay, so, if we say, Chris and Cherie both had a motive, because it seems like they were involved with each other. F2: Uh-huh. F1: Cherie didn't have opportunity because the neighbours heard her. M1: But that was one hour earlier. F1: But then it says, she F2: Yeah, it doesn't say she left, it was M1: Erm, that's true. But the discussion in the thread was about the noise, not about leaving, so. F2: Yeah, so F1: So, probably in Chris' house. M1: We are not a hundred per cent sure. F1: But we don't know how they did it. So, yeah, I feel like Chris is missing in action. Cherie was probably at his house, Donna was, like, had the traffic, had the police stop, Joan seems to have been at the ritual. So I'm, like, I don't know what means it would have even been, because it's just like he just got pushed off a cliff. F2 [00:01:05]: Yeah. I know it mentions","{""argument_units"": [{""reason"": ""Hypothesising"", ""id"": 0, ""text"": ""those shoes might be""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""her address is 2 County Road""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""you can see a 2""}, {""reason"": ""Hypothesising"", ""id"": 3, ""text"": ""probably not useful""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""just like, other shoes""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""she would have been out there anyway""}, {""reason"": ""Hypothesising"", ""id"": 6, ""text"": ""Chris and Cherie both had a motive""}, {""reason"": ""Hypothesising"", ""id"": 7, ""text"": ""it seems like they were involved with each other""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""Cherie didn't have opportunity""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""the neighbours heard her""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""that was one hour earlier""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""say she left, it""}, {""reason"": ""Hypothesising"", ""id"": 12, ""text"": ""probably in Chris' house""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""We are not a hundred per cent sure""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""I don't know what means it would have even been""}, {""reason"": ""Asserting"", ""id"": 15, ""text"": ""he just got pushed off a cliff""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 8, ""type"": ""attack""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""attack""}, {""source_id"": 15, ""target_id"": 14, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 11, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}",0
29910,"Part 77: F2: [2023/05/16 17:53:30 GMT+0000] I think we can believe this, 'cause it was a real car. It was a real car, the other ones I don't think we can believe, 'cause there's no evidence, he could have just written them down. F3: So the Donna's one, yeah, and then, so this is the, I mean the early ones we can also believe, right? But the collision between the blue and the silver car at four, we don't know about? F2: Yeah, there's no evidence for that one. F3: No. So the things before, that's fine, [inaudible] [00:00:22]: on here. F2: Is there anything, we've got a clue which we haven't worked out? F1: There's F3: Also because at 3.30, the bar-keep was still in the bar, so at 3.31 Chris could have been doing whatever, it's fine. F2: I'd say with his boot, 'cause this is Chris's boot, these aren't work boots, he would have changed them, he must have had his car, to have changed his boots on the night, or [inaudible] [00:00:49]:, 'cause he didn't wear his police boots. F3: Okay, so like a quick question? Do we think it's Donna? F2: Or why do we think? F3: Or wait, no, do we think it's Joan. Do we think it's the witch? F1: No. F2: No, you wouldn't kill for losing a cat, and it wasn't even him that killed the cat. F1: Like, I think the weird stuff was her getting revenge for the cat, but [00:01:04]: I don't think it's related to the murder.","{""argument_units"": [{""reason"": ""Hypothesising"", ""id"": 0, ""text"": ""we can believe this""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""it was a real car""}, {""reason"": ""Hypothesising"", ""id"": 2, ""text"": ""the other ones I don't think we can believe""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""no""}, {""reason"": ""Assertive Questioning"", ""id"": 4, ""text"": ""the early ones we can also believe, right""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""at 3.30, the bar-keep was still in the bar""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""at 3.31 Chris could have been doing whatever""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""say with his boot, 'cause this is Chris's boot""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""these aren't work boots""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""he would have changed them""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""he must have had his car, to have changed his boots on the night""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""you wouldn't kill for losing a cat""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""it wasn't even him that killed the cat""}, {""reason"": ""Hypothesising"", ""id"": 13, ""text"": ""I don't think it's related to the murder""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 3, ""type"": ""support""}]}",0
29913,"Part 80: Female 2: [2023/05/16 17:56:44 GMT+0000] 'Cause there is a possibility where Carmen got him to change the will and has benefitted? Female 1: 'left a note on her menu, and a matchbox on the counter for Nick, but he never got the chance to see it,' it says. Female 3: So why is there another matchbox in the photo? Female 2: I mean, it could be another matchbox, it could genuinely be another matchbox, but if she's got it, everybody could have had them, so that's not really, you can't pin someone on it. Female 3: I'm confused about the matchbox. So Donna doesn't have an alibi, but she also doesn't have motive. Female 1: It's just weird that she was in the car, that way. Female 3: Chris T has a motive, by the means of Cherie, because if he is in an affair with Cherie, then he'd want to help her, and he has the means. He was in that area. Female 1: [00:00:50]: [inaudible] Female 2: [00:00:55]: So, we've discounted the witch, and we've still got three of them. Female 3: So the thing with Donna, we just don't know. Female 2: I don't think the detective has any reason. He hasn't got a motive has he? Female 3: No, but he is dating Cherie, right? Female 2: Yeah, so he can only be an accomplice at best. Female 3: Yes, oh well, no, but he could have done that for her, [00:01:19]: because","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""got it""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""everybody could have had them""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""you can't pin someone on it""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""Donna doesn't have an alibi""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""she also doesn't have motive""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""just weird that she was in the car, that way""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""Chris T has a motive, by the means of Cherie""}, {""reason"": ""Hypothesising"", ""id"": 7, ""text"": ""he is in an affair with Cherie""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""he has the means""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""He was in that area""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""discounted the witch""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""still got three of them""}, {""reason"": ""Assertive Questioning"", ""id"": 12, ""text"": ""got a motive has he""}, {""reason"": ""Assertive Questioning"", ""id"": 13, ""text"": ""he is dating Cherie, right""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""he can only be an accomplice at best""}, {""reason"": ""Hypothesising"", ""id"": 15, ""text"": ""he could have done that for her""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""attack""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""attack""}, {""source_id"": 14, ""target_id"": 12, ""type"": ""support""}, {""source_id"": 15, ""target_id"": 14, ""type"": ""attack""}]}",0
29924,"Part 92: F2: [2023/05/16 18:12:12 GMT+0000] And how much of his, I mean, she did well to nick this notebook. I mean, he's got a pretty thoroughwhere's his gaps? F3: He could have like, faked it, right? F2: True, but where are the fakey ones, you know, which ones F3: Er, collision between the blue and black car, 'cause those are like random cars we don't know. F2: I agree, that's the only one. F3: But the thing is, the orange advertisement F2: But the collision between the blue and the black car, he did book the driver, so that would have been in the records. F3: Mmm, okay. Yeah, so then he didn't kill, so F2: He was driving, soI think, that yeah, he's got an alibi over the period. F3: Well he could have killed, no, no, no, so like that just means that he didn't kill anyone at 04:01, he could have killed the guy between 30:30 and 04:01, like it's everything very close. He could have totally done that. So I think the murder happened between 03:30 and 04:01. So the collision between blue and black car, 04:01, 03:30 CCTV camera, 03:31 Chris is at the location stopping Donna. So between 03:30 and 04:01 F2: I agree, that's his only window, he's got coverage. Interestingly, he was attraffic stopped silver Lincoln, tail lights out, he was actually at the pub at theI mean, he was at the pub at this time, so [00:01:23]: he could have done the scary bit.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""collision between the blue and black car""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""cause those are like random cars we don't know""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""the collision between the blue and the black car, he did book the driver""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""that would have been in the records""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""He was driving""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""got an alibi over the period""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""that just means that he didn't kill anyone at""}, {""reason"": ""Hypothesising"", ""id"": 7, ""text"": ""he could have killed the guy between 30:30 and""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""He could have totally done that""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""30 CCTV camera""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""31 Chris is at the location stopping Donna""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""his only window""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""he was actually at the pub at theI mean, he was at the pub at this time""}, {""reason"": ""Hypothesising"", ""id"": 13, ""text"": ""he could have done the scary bit""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}]}",0
27906,"Part 53: F1: [2023/05/16 17:11:30 GMT+0000] R? F2: O. Oh, M, N, O, yeah, O. F4: [00:00:04]: inaudible . F1: E? F2: B. F3: [00:00:08]: [inaudible], this was Donna. F1: E? F2: Did you say E? F4: [inaudible] [00:00:14]: was actually there [00:00:15]: [inaudible]. F2: Yeah, but I think I just said the same thing twice, didn't I? D? F1: D, the higher D is A. E is B again. F1: O? F2: Is that an L or an A. O? F1: O? F2: The higher O is L. F1: And then H. F2: The higher H is E. F1: E. However improbable F2: Yeah, okay, remains improbable. I think we are wasting our time here. F1: I know, I'll just finish this one for completeness. F2: Yeah. F1: But, I'll manage. F2: Oh, but, you know what this is? F1: It might help with this. F2: This is teaching us the code for that. F1: For that, that's what I was thinking. F3: Who said F1: Oh that's annoying, 'cause Iso which one is it? F3: Who had those, the matches? F1: The matches, Donna left the matches. F3: Oh and whose shoes are those, do we know? F1: Oh, someone had sent off footprints to a lab. F2: These are these. F1: But they were waiting for the results. Oh, so these are the results. I don't remember, we'll need to check, it was in here, there was something about footprints [in a book?] [00:01:22]: I want to say whether it was maybe, I'd like to check this Chris guy.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""It might help with this""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""This is teaching us the code for that""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""someone had sent off footprints to a lab""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""they were waiting for the results""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""these are the results""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""there was something about footprints""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}",0
29912,"Part 79: F2: [2023/05/16 17:55:07 GMT+0000] And then he had, oh, I know, the shoe, the boot, with the picture, if it was a baddy, we know he had that, 'cause she gave it to him that night, he's dropped it when he attacked her. So we know that boot was, that I think says, that he was with her. F3: So you mean that F2: They must have been together. F3: The bar-keep had this? F2: The murder person had this, and we know this is the chap's foot, so it means they were together at some point. F1: Why would the murder person have that? F2: Well maybe he was strangling him, and it fell out of the pocket. F3: No, I'm confused about this. F1: No, but the murdered guy never got that? F3: Didn't she leave a message for him when she left out of the bar, who did she give it to, when she [00:01:12]: [came?]? F1: It said, he never saw it, because it was never handed to him. F2: Mmm. F3: So Donna wanted to see him. F2 Didn't she hand this to him? F1: F2: I thought F3: Hold on, [00:01:32]: She left it at the bar, but then, it seems like Carmen didn't pass it on. where are all these people?","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""he had, oh, I know, the shoe, the boot, with the picture""}, {""reason"": ""Hypothesising"", ""id"": 1, ""text"": ""it was a baddy""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""we know he had that""}, {""reason"": ""Assertive Questioning"", ""id"": 3, ""text"": ""The bar-keep had this""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""The murder person had this""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""we know this is the chap's foot""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""they were together at some point""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""he never saw it""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""it was never handed to him""}, {""reason"": ""Assertive Questioning"", ""id"": 9, ""text"": ""she hand this to him""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""She left it at the bar""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""attack""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""attack""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 0, ""type"": ""support""}]}",0
29801,"Part 24: M1 [2023/05/12 19:07:00 GMT+0000]: Okay, so let's assume that this letter was sent by Cherie. F1: Okay. F2: Uh-huh. M1: And this one was sent by Chris, no? They exchanged the letters? F1: Okay, likely, yeah. M1: But this was inside of the bag. F1: But that's okay because they live M1: Maybe Nick found it. F1: yeah, they live in the same house. M1: Yeah, maybe Nick found it. So, maybe that makes it easier to do theno? F1: Yeah, so F2: So, was that one in the? F1: so, we now know what the F is, it's definitely C. M1: Yeah, the F, or C, or T. F1: Well, no, so like on this one, if it's from Cherie M1: Oh, sorry, yeah, it's C or W. F1: Yeah, but I don't think people would sign off with their surname. M1: Yeah, I don't think that either, but just to try. F2: So, did that one come out of the locked bag? F1: So, yeah, I think so. M1: Sorry? F2: Yeah, so did that one come out of the locked bag, yeah? M1: Yes. So, that's why I think it makes sense to assume that they were exchanging these empty envelopes. F2 [00:01:35]: Uh-huh.","{""argument_units"": [{""reason"": ""Hypothesising"", ""id"": 0, ""text"": ""assume that this letter was sent by Cherie""}, {""reason"": ""Assertive Questioning"", ""id"": 1, ""text"": ""this one was sent by Chris, no""}, {""reason"": ""Pure Questioning"", ""id"": 2, ""text"": ""They exchanged the letters""}, {""reason"": ""Hypothesising"", ""id"": 3, ""text"": ""this was inside of the bag""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""they live""}, {""reason"": ""Hypothesising"", ""id"": 5, ""text"": ""Maybe Nick found it""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""we now know what the F is, it's definitely C""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""the F, or C, or T""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""from Cherie""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""C or W""}, {""reason"": ""Hypothesising"", ""id"": 10, ""text"": ""I don't think people would sign off with their surname""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""yeah, I think so""}, {""reason"": ""Hypothesising"", ""id"": 12, ""text"": ""it makes sense to assume that they were exchanging these empty envelopes""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 8, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""attack""}, {""source_id"": 12, ""target_id"": 11, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 6, ""type"": ""attack""}]}",0
29885,"Part 31: F3: [2023/05/16 16:42:34 GMT+0000] The Joan lady, does she had a motive, she doesn't like F2: She thinks the people in the pub are interlopers from Old Scratch bent on destroying life. That's probably her best motive. F1: Yeah. F3: But it doesn't explain why, so this is just she doesn't like them. F2: She has got a history of assault and trespassing, and she's divorced. I don't think that makes you a violent person, but she's unreliable. F1: Yeah. F3: And means, how many means and opportunity? F1: Maybe, because she lives close. F3: Maybe. F2: Aha. The other thing, if he was pushed over the ledge, interestingly, any of them are strong enough to push him over the ledge, but whether he would go on the ledge with a madeither of these actually. F3: Maybe but a potential alibi, Mia? F1: This is Joan? F3: Joan. [00:00:48]: [inaudible]. F2: I don't think they would give us an alibi so early on in the story. F1: No, I don't think we have any alibis. F2: No, not yet. F3: No, but it's a potential one, because at some point, Mia and Joan were together. F3: Oh, I see, the witch lady, oh I see, yeah. F1: Oh right, okay. F3: So there's a potential that there is an alibi if they were together, during the murder time or the murder happened before, and then she doesn't have an alibi. F2: [00:01:16]: Oh, you're right","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""probably her best motive""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""it doesn't explain why""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""this is just she doesn't like them""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""She has got a history of assault and trespassing, and she's divorced""}, {""reason"": ""Hypothesising"", ""id"": 4, ""text"": ""Maybe""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""she lives close""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""he was pushed over the ledge""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""any of them are strong enough to push him over the ledge""}, {""reason"": ""Hypothesising"", ""id"": 8, ""text"": ""a potential alibi, Mia""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""at some point, Mia and Joan were together""}, {""reason"": ""Hypothesising"", ""id"": 10, ""text"": ""a potential that there is an alibi if they were together, during the murder time""}, {""reason"": ""Hypothesising"", ""id"": 11, ""text"": ""the murder happened before""}, {""reason"": ""Hypothesising"", ""id"": 12, ""text"": ""she doesn't have an alibi""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""attack""}, {""source_id"": 12, ""target_id"": 11, ""type"": ""support""}]}",0
