,conversation_id,conversation_text,argument_objects
0,21585,"Fiona Bruce [0:15:02] Rosemary, given the infection rate has been rising here, do you have any sympathy with the idea it is best to delay for four weeks to try to stop another wave? Rosemary Squire [0:15:18] It is contradictory, what's happening at the moment. None of the pilots that were held in theatre, the Crucible Theatre, the date does not show that transmission increases whether a theatre is 25%, 50% or 100% just to give you an example it is trading in London at 70 percent, in the regions, where I am in Cornwall, there are no theatres open at the moment. It is down to 4 or 5% regionally. This is people's businesses, their jobs, their livlihoods. So many people, freelancers have not been eligible for the furlough. It has been a nightmare, 16 months. The sooner we can get back, the better. There's no evidence to say performing in a theatre, where you all look forwards, you don't necessarily talk to anyone apart from the person in your bubble who is sitting next to you. We need to get on and get back. What we need is certainty around a date. So we have to stick to this July date. And if we can't stick to that July date, what we need is an industry, and we are a huge industry.","{""argument_units"": [{""reason"": ""Pure Questioning"", ""id"": 0, ""text"": ""do you have any sympathy with the idea it is best to delay for four weeks to try to stop another wave""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""It is contradictory, what's happening at the moment""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""it is trading in London at 70 percent""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""in the regions, where I am in Cornwall, there are no theatres open at the moment""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""This is people's businesses, their jobs, their livlihoods""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""So many people, freelancers have not been eligible for the furlough""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""It has been a nightmare, 16 months""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""The sooner we can get back, the better""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""no evidence to say performing in a theatre, where you all look forwards, you don't necessarily talk to anyone apart from the person in your bubble who is sitting next to you""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""We need to get on and get back""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""What we need is certainty around a date""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""we have to stick to this July date""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""we can't stick to that July date""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""what we need is an industry""}], ""relations"": [{""source_id"": 6, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""support""}]}"
1,25904,"Kavita Oberoi[0:25:42] Public health messaging is very important having worked in healthcare for the last 20 years, it is about reaching communities who don't understand or have the fears, they're going on to YouTube and they are seeing the stories and they have a fear of the vaccine, and those are those communities who are at highest risk, the poorest communities, and those are the communities that we're not reaching. So we've got to invest more into public health messaging. We've got to do that. Lucy Powell[0:26:14] It is accessible. There is language barriers. They can't book themselves in. They're waiting for calls still. I know loads of older people who are waiting for a call. We need to put more into the longer tail. Kavita Oberoi[0:26:32] I worked on meningitis uptake and we were working with CCGs and people were going out, phone calls and door knocking. You've got to do these other things. Gillian Keegan[0:26:46] Black and Asian communities have tripled the uptake since April. Those people who said they will get the jab have gone up 25% in the Muslim communities. The messages are getting through. Kavita Oberoi[0:27:00] Because they have seen what happened in India. Gillian Keegan[0:27:02] That's definitely true. Fiona Bruce[0:27:06] Quickly. Frank Luntz[0:27:08] I'm going to say everyone who is there right now, I had a stroke a year-and-a-half ago because I behaved badly. I caused it for myself. Fiona Bruce[0:27:16] Meaning you were living an unhealthy lifestyle. Frank Luntz[0:27:20] A very unhealthy lifestyle. I'm so focused on people getting vaccinated because they know it saves lives. They know it works. It is 100% undeniable. So if anyone up there who has the chance, your participants here or anyone watching, has the chance to be vaccinated, please, don't make the mistake I made.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""Public health messaging is very important""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""having worked in healthcare for the last 20 years""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""it is about reaching communities who don't understand or have the fears""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""going on to YouTube and they are seeing the stories and they have a fear of the vaccine""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""those are those communities who are at highest risk""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""the poorest communities""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""those are the communities that we're not reaching""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""got to invest more into public health messaging""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""It is accessible""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""There is language barriers""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""They can't book themselves in""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""waiting for calls still""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""I know loads of older people who are waiting for a call""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""We need to put more into the longer tail""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""I worked on meningitis uptake""}, {""reason"": ""Asserting"", ""id"": 15, ""text"": ""we were working with CCGs and people were going out, phone calls and door knocking""}, {""reason"": ""Asserting"", ""id"": 16, ""text"": ""got to do these other things""}, {""reason"": ""Asserting"", ""id"": 17, ""text"": ""Black and Asian communities have tripled the uptake since April""}, {""reason"": ""Asserting"", ""id"": 18, ""text"": ""Those people who said they will get the jab have gone up 25% in the Muslim communities""}, {""reason"": ""Asserting"", ""id"": 19, ""text"": ""The messages are getting through""}, {""reason"": ""Asserting"", ""id"": 20, ""text"": ""they have seen what happened in India""}, {""reason"": ""Asserting"", ""id"": 21, ""text"": ""It is 100% undeniable""}, {""reason"": ""Asserting"", ""id"": 22, ""text"": ""if anyone up there who has the chance, your participants here or anyone watching, has the chance to be vaccinated, please, don't make the mistake I made""}], ""relations"": [{""source_id"": 7, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 16, ""target_id"": 13, ""type"": ""attack""}, {""source_id"": 16, ""target_id"": 14, ""type"": ""support""}, {""source_id"": 16, ""target_id"": 15, ""type"": ""support""}, {""source_id"": 19, ""target_id"": 17, ""type"": ""support""}, {""source_id"": 19, ""target_id"": 18, ""type"": ""support""}, {""source_id"": 20, ""target_id"": 19, ""type"": ""support""}, {""source_id"": 22, ""target_id"": 21, ""type"": ""support""}]}"
2,19335,"Peter Openshaw [00:17:56] I think the MRHA is one of the most respected bodies internationally. They are extraordinarily careful in the way they scrutinise medicine to make sure they are safe. I have no worry at all about the way they scrutinised the data on the Pfizer BioNTech vaccine. I think it is very, very important that medicines are properly regulated and we do have a proud record of it. I dont think it has been affected by Brexit because this is a message regulation that has gone through all the due processes. I would be very happy, indeed, to be given this vaccine tomorrow if it was offered to me. [DONE] Fiona Bruce [00:18:38] So Im just wondering what you make of the responses that weve had today from the European Union, from Anthony Fauci, for example, who -- well, it is suggested they feel a bit stung by what has been said over here? Peter Openshaw [00:18:52] I think there is unfortunate international competition being set up. This is really us against the virus; it is not us against the Americans, us against the Europeans. We all ought to be pulling together to do everything we can to defeat this virus, and just speaking with one voice. I think it is very unfortunate, indeed, if we are trying to divide opinions on this matter. It is quite clear it has been very carefully scrutinised and I have no concerns about it. [DONE]","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""the MRHA is one of the most respected bodies internationally""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""They are extraordinarily careful in the way they scrutinise medicine to make sure they are safe""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""I have no worry at all about the way they scrutinised the data on the Pfizer BioNTech vaccine""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""it. I dont think it has been affected by Brexit""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""this is a message regulation that has gone through all the due processes""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""I would be very happy, indeed, to be given this vaccine tomorrow if it was offered to me""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""This is really us against the virus; it is not us against the Americans, us against the Europeans""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""We all ought to be pulling together to do everything we can to defeat this virus, and just speaking with one voice""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}]}"
3,18848,"Fiona Bruce[00:07:26] Belinda, I was just watching you there, nodding your head along to what Lisa was saying.Belinda[00:07:33]Yes, you know, looking at the root of the question that Charlie asked, in terms of what does it say about the government and, like you say, you know, it took such a high profile footballer for that to happen. If were responding to coronavirus, and I admit theres millions that have been ploughed into this, in order to get to that new normal, how can we trust that the government is going to make those decisions without having the intervention?Fiona Bruce[00:08:10] Munira?Munira Wilson[00:08:12] Well, in 2020 in the United Kingdom no child should be going hungry, and the fact that its taken a footballer to help the government to realise that and actually change its policy I think is shameful, frankly. Its not a new issue, holiday hunger; we know that several billion children suffer from holiday hunger normally, and thats obviously exacerbated by the crisis that we face.Fiona Bruce[00:08:39] And were the Lib Dems pushing to extend the free school meal vouchers?","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""looking at the root of the question that Charlie asked, in terms of what does it say about the government""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""it took such a high profile footballer for that to happen""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""in 2020 in the United Kingdom no child should be going hungry""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""and the fact that its taken a footballer to help the government to realise that and actually change its policy""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""I think is shameful""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""not a new issue, holiday hunger""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}"
4,23901,"Frank Luntz [0:23:10] I have been through this in the States, don't do this, seriously. They deserve better. We have a situation where Democrats get vaccinated in the States and Republicans don't, because Republicans saw it as being a political issue. This is the one case, I understand that you want to be in government and you want to keep government. This kind of stuff actually makes them confused. All they want are the facts. All they want is the truth. All they want is substance. Please, learn from us. I've... Lucy Powell [0:23:40] The problem is the supply of it. Gillian Keegan [0:23:44] It is growing. Frank Luntz [0:23:48] We have not done as well as you have, congratulations. Just on this one issue, don't politicise it. Gillian Keegan [0:23:56] That's why the JCVI are there. Fiona Bruce [0:24:00] Yanis. Yanis Varoufakis [0:24:02] My concern is that we shouldn't take for granted the capacity of the State or organised society to impose lockdowns. The more we delay opening up, the more deadlines we violate. The lesser the capacity of the State or the Government to convince especially young people to follow the rules.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""I have been through this in the States""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""do this""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""We have a situation where Democrats get vaccinated in the States and Republicans""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""Republicans saw it as being a political issue""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""This kind of stuff actually makes them confused""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""All they want are the facts""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""The problem is the supply of it""}, {""reason"": ""Challenging"", ""id"": 7, ""text"": ""It is growing""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""The more we delay opening up""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""the more deadlines we violate""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""The lesser the capacity of the State or the Government to convince especially young people to follow the rules""}], ""relations"": [{""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 10, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 10, ""target_id"": 9, ""type"": ""support""}, {""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}"
5,18860,"Fiona Bruce[00:20:15] Deborah, youve got your hand up.Deborah Norrish[00:20:18] Just coming back to James about the points, and the vision to get students back into school, which is exactly what we all want, the implementation of some of the policies that the government have suggested havent necessarily turned out to what they were planned  so the school laptops, for example, our school our disadvantage laptops still havent arrived. And today I know the announcement with the big catch-up plan and the national tutoring programme in theory sounds fabulous; in reality have we got capacity to be able to implement what the government are trying to suggest?Fiona Bruce[00:20:51] Lisa?Lisa Nandy[00:20:52] Well, I mean, the question was about trying toabout the impact on children, and I think theres no question that this is going to have a big impact on this generation. Its not just about exam results and life chances, as important as that is, but health professionals are increasingly worried that this is having a real impact on childrens mental health as well. So, for every reason, we ought to be trying to get children back to school as quickly as can safely be achieved. Its why its been so frustrating to see the governments response to this entering into this blame game and refusing to work with people to build a national consensus around this.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""the implementation of some of the policies that the government have suggested havent necessarily turned out to what they were planned""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""the school laptops, for example, our school our disadvantage laptops still havent arrived""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""not just about exam results and life chances""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""as important as that is""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""health professionals are increasingly worried that this is having a real impact on childrens mental health as well""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""we ought to be trying to get children back to school as quickly as can safely be achieved""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""Its why its been so frustrating to see the governments response to this""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 3, ""type"": ""support""}]}"
6,23732,"Kate Andrews [0:31:21] They can ask for a lot more than they could before. Average wages have skyrocketed. The shortages, the flipside of it, there are lots of problems with it, but the flipside of it is that wages are going up, workers who got us through the pandemic, the people who couldn't stay home, who were in the shops, who were delivering the packages, who were driving on the road, they are about to be valued. They are about to be valued so much more than they were the decade before when they were struggling for stagnant wages, and I am really torn on this one, because as somebody who was very supportive of Brexit and thinks has a lot of opportunity, I was also devastated to see free movement go. I've always been a big advocate of free movement, but if there is a benefit to what has happened is that native workers are about to get that big pay raise, and they so, so deserve it, and I think Grant's right that even if you added lorry drivers to the skilled working list, the shortage is across Europe now. It is not at all obvious that we solve the problem overnight. Workers are now empowered to ask for more money. They should do, they should ask for better working conditions. This is their moment, in terms of winners and losers, and there are always are, is the workers who got us through the pandemic that are about, I think, to have some real winnings come their way, and I'm excited to see it.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""They can ask for a lot more than they could before""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Average wages have skyrocketed""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""there are lots of problems with it""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""the flipside of it is that wages are going up""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""workers who got us through the pandemic, the people who couldn't stay home, who were in the shops, who were delivering the packages, who were driving on the road, they are about to be valued""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""They are about to be valued so much more than they were the decade before when they were struggling for stagnant wages""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""I am really torn on this one""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""as somebody who was very supportive of Brexit and thinks has a lot of opportunity, I was also devastated to see free movement go""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""if there is a benefit to what has happened is that native workers are about to get that big pay raise""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""they so, so deserve it""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""right that even if you added lorry drivers to the skilled working list, the shortage is across Europe now""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""It is not at all obvious that we solve the problem overnight""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""They should do, they should ask for better working conditions. This is their moment, in terms of winners and losers, and there are always are""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""is the workers who got us through the pandemic that are about, I think, to have some real winnings come their way""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 8, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""support""}]}"
7,23545,"Heather McGregor[00:18:43] One and a half thousand of them are actually living on campus alongside me and we have a 24-hour app. I'm sure those of you in the audience who were students will know exactly what I mean. If anything happens, 24/7, seven days a week, you just press the app and somebody will come to you. We run a central security service that will do that. And that is the kind of thing that I think needs to happen. These venues have to take the responsibility for the people that they have on the premises. They are after all handing over money and I think that they need to exercise a duty of care. Fiona Bruce[00:19:26] Kate, what can be done? Kate Forbes[00:19:28] Well, I would like to think that I could classify myself as a young woman in much the same shoes as you are and I understand that fear as I think so many woman, not just in Scotland, across the UK and beyond, understand that fear. And I think from my perspective, there are three things that I would say. That, one, legislation is really important but it's never enough. You can have the legislation, but there are two other things you need. You need rigid enforcement of that legislation. And I know that Police Scotland are doing a lot of work right now to get to the bottom of those reports.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""anything happens, 24/7, seven days a week""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""you just press the app and somebody will come to you""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""We run a central security service that will do that""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""These venues have to take the responsibility for the people that they have on the premises""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""They are after all handing over money""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""they need to exercise a duty of care""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""one, legislation is really important""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""never enough""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""You can have the legislation""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""there are two other things you need""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 9, ""target_id"": 8, ""type"": ""attack""}]}"
8,23811,"Fiona Bruce[0:18:28] What does it look like?Lisa Nandy[0:18:28] Already their involvement with the UK and many of those people are in touch with us at the moment. They can't get through the roadblocks, can't get to the airport, even though the government is saying we will process your visa applications, they practically can't do it.Fiona Bruce[0:18:44] 5,000 in the first year, up to 20,000, does that sound realistic? Is that number supported?Lisa Nandy[0:18:50] I'm really glad the government has changed tack from the weekend when they seemed to be suggesting they didn't want to offer any assistance at all.James Cleverly[0:18:56] That's rubbish.Lisa Nandy[0:18:58] Sorry, the Home Office was briefing the media that if the government offered assistance, more people would come, and that's why they were reluctant to do. Now, the Home Secretary had a different line this morning, and I'm really glad about that, but what she is proposing, let's be clear about this, is up to 5,000 in the first year. Up to 5,000 people, when we already know that the scale of this crisis is going to be way beyond that.Fiona Bruce[0:19:24] I want to pin you down. How many refugees?Lisa Nandy[0:19:26] I know ...Fiona Bruce[0:19:28] Not a number, but hear me out, could you at least say whether the government is on the right track talking about 20,000? Do you think it should be more than that?Lisa Nandy[0:19:36] I don't think they are on the right track for two reasons. One is that it is absolutely clear that 5,000 is too small a number over the next 12 months and we've got to make a more generous offer than that. The second reason I don't think this is sufficient is because what became apparent today is that there is absolutely no plan to deliver it.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""Already their involvement with the UK and many of those people are in touch with us at the moment""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""They can't get through the roadblocks, can't get to the airport""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""even though the government is saying we will process your visa applications, they practically can't do""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""I'm really glad the government has changed tack from the weekend when they seemed to be suggesting they didn't want to offer any assistance at""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""Sorry, the Home Office was briefing the media that if the government offered assistance, more people would come, and that's why they were reluctant to do""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""Up to 5,000 people, when we already know that the scale of this crisis is going to be way beyond""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""I don't think they are on the right track for two reasons""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""One is that it is absolutely clear that 5,000 is too small a number over the next 12 months and we've got to make a more generous offer than""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""that. The second reason I don't think this is sufficient is because what became apparent today is that there is absolutely no plan to deliver it""}], ""relations"": [{""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 8, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 1, ""target_id"": 0, ""type"": ""support""}]}"
9,19158,"Fiona Bruce[0:28:59]Bonnie.Bonnie Greer[0:29:00]You know, I want to go back to the question, with respect, to the questioner. We use a term like least worst, what are we selecting, pizzas? This is the problem. We dont talk about leadership. What does least worst mean? What do we want in a leader? So weve got a leader here who we got off the television, basically. And America, hes off the television too. Is that what were about? We need to check ourselves. Our leader is us. If we think the leader is somewhere remote up in the stratosphere were going to get what we deserve. I dont know what least worse is. Ive lived through a lot of presidents and I know what a leader is, and we need to talk about leadership. Thats one of the problems with the Labour party and the problems with the Conservative party. Its a leadership issue. Its a leadership issue. And, Anthony, let me just say something to you. First of all, let me give you your respect. The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, youre behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent again.But the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and thats the problem. And Im not saying its just you, Im talking about all of you very intelligent people at the beginning who flocked around this man because of your political beliefs. Donald Trump was out of order for 30 years. It just didnt happen. So were now having to deal with talking about least worse as if were talking about choosing a television host instead of a leader of the free world. This is horrible. This is a horrible position for us to be in. And so I just want to say that to you. And, again, thank you guys for what youre doing on the right for helping getting Joe elected, but its a mess. Its a terrible, horrible mess. The norms of the United States are in trouble. The norms of this country are in trouble. And norms are what make civilisation, and thats what we have to go back to at the inauguration.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""We need to check ourselves""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Our leader is us""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""If we think the leader is somewhere remote up in the stratosphere were going to get what we deserve""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""let me give you your respect""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""The last two years you have been incredible in terms of coming clean on TV in front of people, you published a book, youre behind the incredible Lincoln Project of Conservatives and Republicans who are actually trying to save conservatism and make it decent""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""the other thing that you did, because of your charisma, your intelligence, you normalised Donald Trump, and thats the problem""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""Donald Trump was out of order for 30 years""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""It just didnt happen""}], ""relations"": [{""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""attack""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""support""}, {""source_id"": 1, ""target_id"": 0, ""type"": ""support""}]}"
